#word,k-f-freq     ,k-f-ncats    ,k-f-nsamp    ,t-l-freq     ,brown-freq   ,fam,conc ,imag,meanc,wtype
a,23237,15,500,117222,5006,632,201,217,260,o
a-wing,1,1,1,,,,,,,a
aback,2,2,2,15,1,,,,,a
aback,2,2,2,15,1,,,,,o
abacus,,,,,2,,,,,n
abandon,17,8,15,150,1,510,,395,,a
abandon,17,8,15,150,1,510,,395,,v
abandoned,25,11,24,14,,,,,,j
abandoned,25,11,24,14,,,,,,p
abandoned,25,11,24,14,,,,,,v
abandoned,25,11,24,14,,,,,,o
abase,,,,2,,,,,,v
abash,,,,14,,,,,,v
abate,,,,20,,,,,,n
abate,,,,20,,,,,,v
abbe,3,2,2,,,,,,,n
abbess,,,,3,,187,401,318,218,n
abbey,7,4,5,19,,,,,,n
abbot,2,1,2,20,,,,,,n
abbreviate,,,,8,,,,,,j
abbreviate,,,,8,,,,,,n
abbreviate,,,,8,,,,,,o
abbreviate,,,,8,,,,,,v
abbreviation,1,1,1,1,,,,,,n
abc,,,,,5,,,,,n
abdicate,,,,4,,,,,,v
abdication,,,,3,,284,275,326,277,n
abdomen,6,5,6,49,,426,586,548,,n
abdominal,4,3,3,16,,,,,,n
abdominal,4,3,3,16,,,,,,j
abduction,1,1,1,,,413,337,463,390,n
abed,1,1,1,6,,,,,,a
aberrant,5,2,3,,,,,,,j
aberration,3,3,3,,,208,330,285,,n
abet,,,,6,,,,,,n
abet,,,,6,,,,,,v
abhor,,,,8,,360,320,335,327,v
abhorrent,1,1,1,6,,,,,,j
abhorrent,1,1,1,6,,,,,,o
abide,7,5,7,43,1,,,,,v
abiding,,,,,1,,,,,j
abiding,,,,,1,,,,,v
abigail,2,1,1,,,,,,,n
ability,74,12,54,312,7,563,273,327,,n
abject,3,3,3,,,,,,,n
abject,3,3,3,,,,,,,o
abject,3,3,3,,,,,,,v
abject,3,3,3,,,,,,,j
abjection,1,1,1,,,,,,,n
abjure,,,,2,,,,,,v
ablation,2,1,1,,,,,,,n
ablaze,3,3,3,15,,,,,,a
ablaze,3,3,3,15,,,,,,j
able,216,15,167,930,66,575,302,284,355,v
able,216,15,167,930,66,575,302,284,355,j
ablution,,,,3,,,,,,n
ably,2,2,2,9,,,,,,a
abnormal,3,3,3,43,,,,,,j
aboard,25,8,15,121,,,,,,n
aboard,25,8,15,121,,,,,,v
aboard,25,8,15,121,,,,,,a
aboard,25,8,15,121,,,,,,r
abode,4,2,3,20,,334,498,458,419,o
abode,4,2,3,20,,334,498,458,419,n
abode,4,2,3,20,,334,498,458,419,v
abolish,8,5,7,50,,,,,,v
abolitionist,1,1,1,1,,,,,,n
abominable,,,,20,,358,,387,,a
abominable,,,,20,,358,,387,,j
abomination,,,,2,,,,,,n
aboriginal,1,1,1,6,,295,335,389,290,n
aboriginal,1,1,1,6,,295,335,389,290,j
aborigines,8,2,2,8,,,,,,o
abortion,6,6,6,,,,,,,n
abortive,3,2,3,1,1,,,,,n
abortive,3,2,3,1,1,,,,,v
abortive,3,2,3,1,1,,,,,j
abound,1,1,1,32,,,,,,v
about,1815,15,426,9918,970,593,227,225,300,o
about,1815,15,426,9918,970,593,227,225,300,a
about,1815,15,426,9918,970,593,227,225,300,r
above,296,15,173,941,6,607,,346,,j
above,296,15,173,941,6,607,,346,,n
above,296,15,173,941,6,607,,346,,a
above,296,15,173,941,6,607,,346,,r
abraham,6,5,5,,,,,,,n
abraham,6,5,5,,,,,,,j
abrasion,1,1,1,,,,,,,n
abreast,5,4,5,17,1,,,,,a
abridgement,,,,,,303,285,240,,n
abridgment,1,1,1,1,,,,,,n
abroad,51,10,31,198,6,,,,,j
abroad,51,10,31,198,6,,,,,a
abroad,51,10,31,198,6,,,,,r
abrupt,18,10,15,43,1,486,266,362,439,n
abrupt,18,10,15,43,1,486,266,362,439,v
abrupt,18,10,15,43,1,486,266,362,439,j
abruptly,18,5,14,232,,,,,,a
abscess,,,,5,,392,538,491,,n
absence,53,12,40,163,2,,,,,n
absent,28,9,21,65,,,,,,n
absent,28,9,21,65,,,,,,v
